Frame,Queue,Moving
254,0.227104,0.0136723
255,0.226652,0.0153229
256,0.227276,0.019322
257,0.22696,0.0193457
258,0.226896,0.0146294
259,0.226629,0.0142001
260,0.226218,0.0162849
261,0.226406,0.0133377
262,0.22599,0.0150698
263,0.226043,0.0121731
264,0.225571,0.0123423
265,0.225458,0.0168655
266,0.225102,0.0163634
267,0.225317,0.0109985
268,0.225406,0.012621
269,0.225146,0.0125059
270,0.222674,0.113656
271,0.222648,0.0192987
272,0.222977,0.0173408
273,0.222831,0.0159432
274,0.222586,0.0163771
275,0.223459,0.0236108
276,0.224846,0.0214783
277,0.226942,0.0313902
278,0.228057,0.0354036
279,0.228576,0.0257686
280,0.230206,0.0382718
281,0.23308,0.0419024
282,0.234193,0.0331694
283,0.237082,0.0437903
284,0.239751,0.0461067
285,0.240677,0.0359601
286,0.241173,0.0529104
287,0.24112,0.0533056
288,0.239892,0.0352676
289,0.238949,0.047978
290,0.237018,0.042501
291,0.236358,0.0247863
292,0.235432,0.0381628
293,0.233885,0.0332995
294,0.233088,0.0179575
295,0.226017,0.136316
296,0.224322,0.0394148
297,0.223813,0.0262167
298,0.221611,0.0296496
299,0.219794,0.0257311
300,0.219577,0.0178044
301,0.218251,0.0190318
302,0.217824,0.0172611
303,0.217491,0.0128108
304,0.21716,0.0195187
305,0.217651,0.0154839
306,0.217977,0.0132939
307,0.218207,0.0162622
308,0.219447,0.0170186
309,0.218876,0.0165387
310,0.218714,0.0199304
311,0.219776,0.0240607
312,0.219905,0.0165115
313,0.21948,0.0258829
314,0.220626,0.0271749
315,0.221206,0.0146599
316,0.221597,0.0221134
317,0.221375,0.0157872
318,0.220959,0.0168435
319,0.220049,0.0201076
320,0.219188,0.130694
321,0.21982,0.0242283
322,0.220141,0.0257487
323,0.220746,0.0267306
324,0.220691,0.0184789
325,0.220973,0.0222075
326,0.221453,0.0188342
327,0.220968,0.0190503
328,0.221116,0.0206891
329,0.221379,0.0169573
330,0.221523,0.0106261
331,0.221789,0.0267391
332,0.221977,0.016364
333,0.221883,0.00816657
334,0.221591,0.0112274
335,0.22139,0.014255
336,0.22149,0.00736697
337,0.221185,0.0130639
338,0.221123,0.0144685
339,0.221622,0.0107293
340,0.22314,0.0176187
341,0.225765,0.0221848
342,0.22721,0.0163612
343,0.229148,0.0250962
344,0.230504,0.0281172
345,0.230025,0.131854
346,0.232621,0.0402648
347,0.234606,0.0466851
348,0.235683,0.0297488
349,0.235568,0.037755
350,0.235577,0.0384333
351,0.235494,0.0320887
352,0.23488,0.0369142
353,0.23466,0.0382298
354,0.234577,0.0327719
355,0.234682,0.0368916
356,0.235036,0.0474968
357,0.235422,0.0282151
358,0.235588,0.0357697
359,0.235647,0.0327613
360,0.23586,0.026459
361,0.236229,0.0314574
362,0.236248,0.0298204
363,0.236379,0.0260624
364,0.236442,0.0326231
365,0.236272,0.0315587
366,0.235953,0.0252967
367,0.23587,0.0295358
368,0.235609,0.0294467
369,0.235469,0.0213996
370,0.235176,0.132769
371,0.235231,0.0395428
372,0.235578,0.0270341
373,0.23548,0.0340385
374,0.2354,0.0310338
375,0.235265,0.0245084
376,0.235022,0.0293094
377,0.234883,0.0283675
378,0.234596,0.0245537
379,0.234278,0.0260007
380,0.233812,0.025991
381,0.233925,0.0241514
382,0.235429,0.0335255
383,0.236207,0.0406593
384,0.237289,0.0344466
385,0.237941,0.0488628
386,0.239394,0.0566778
387,0.24,0.0431658
388,0.242068,0.0595686
389,0.244052,0.0654092
390,0.244731,0.0537959
391,0.246449,0.0706137
392,0.247738,0.0716554
393,0.248416,0.0537215
394,0.24946,0.0738664
395,0.246736,0.17167
396,0.247699,0.0593378
397,0.249958,0.0813763
398,0.250939,0.0779996
399,0.251265,0.0545262
400,0.251561,0.0775714
401,0.252614,0.0755848
402,0.253173,0.0549258
403,0.254575,0.0743317
404,0.256884,0.0756248
405,0.258307,0.0552194
406,0.26177,0.0817267
407,0.265664,0.0858644
408,0.267632,0.0628702
409,0.271997,0.0962899
410,0.275961,0.0998636
411,0.279596,0.0783573
412,0.284883,0.107645
413,0.292217,0.115616
414,0.295854,0.0842798
415,0.302303,0.125368
416,0.308148,0.130563
417,0.311075,0.0913813
418,0.316839,0.136683
419,0.321128,0.134392
420,0.317826,0.240807
421,0.32437,0.155864
422,0.330561,0.16052
423,0.333798,0.121755
424,0.341142,0.167612
425,0.348328,0.172938
426,0.350928,0.132931
427,0.357073,0.178203
428,0.36317,0.18361
429,0.365273,0.137075
430,0.371474,0.186712
431,0.37616,0.191314
432,0.378149,0.147675
433,0.383228,0.198902
434,0.387514,0.201604
435,0.388796,0.147628
436,0.393297,0.200803
437,0.395598,0.203001
438,0.395165,0.152946
439,0.396546,0.208859
440,0.397182,0.205247
441,0.397423,0.151642
442,0.398635,0.211062
443,0.399338,0.209736
444,0.399342,0.155395
445,0.39446,0.322565
446,0.398945,0.206143
447,0.400473,0.151875
448,0.403195,0.208456
449,0.406261,0.207277
450,0.408389,0.15128
451,0.411918,0.207695
452,0.414926,0.206136
453,0.415966,0.145503
454,0.419298,0.202212
455,0.421794,0.199137
456,0.422802,0.133727
457,0.42535,0.196623
458,0.427666,0.194092
459,0.428085,0.126184
460,0.429818,0.188525
461,0.431821,0.178848
462,0.432615,0.121296
463,0.434821,0.174399
464,0.435906,0.168391
465,0.436752,0.104108
466,0.437763,0.163306
467,0.43815,0.148895
468,0.438278,0.101099
469,0.439488,0.146143
470,0.44109,0.261365
471,0.441849,0.0856997
472,0.442113,0.128693
473,0.443172,0.124079
474,0.443248,0.0819383
475,0.444026,0.120409
476,0.443368,0.111992
477,0.442636,0.0694883
478,0.443538,0.110062
479,0.443272,0.10438
480,0.442973,0.064199
481,0.444563,0.1252
482,0.443888,0.0957757
483,0.443317,0.0606167
484,0.444893,0.0974868
485,0.445292,0.094101
486,0.444764,0.0565903
487,0.444913,0.0842186
488,0.444834,0.0807633
489,0.444721,0.0549535
490,0.444007,0.0834658
491,0.444847,0.0793303
492,0.444058,0.0512345
493,0.444636,0.0761512
494,0.444712,0.0713057
495,0.44243,0.196933
496,0.442105,0.0678889
497,0.443356,0.0739911
498,0.442996,0.0430172
499,0.446066,0.0768927
500,0.449454,0.0845664
501,0.450945,0.0931579
502,0.454494,0.0876269
503,0.458416,0.0784705
504,0.460784,0.063471
505,0.462235,0.108289
506,0.464724,0.126963
507,0.466572,0.0897371
508,0.469331,0.12667
509,0.472131,0.137523
510,0.473371,0.102862
511,0.475295,0.140987
512,0.477352,0.141019
513,0.478378,0.104015
514,0.481269,0.150479
515,0.484349,0.145007
516,0.486872,0.105817
517,0.494634,0.146102
518,0.501906,0.14493
519,0.506459,0.102945
520,0.527669,0.336892
521,0.532414,0.148026
522,0.53612,0.114316
523,0.541349,0.151103
524,0.54854,0.152692
525,0.552825,0.112268
526,0.556768,0.148644
527,0.559327,0.154775
528,0.561594,0.106817
529,0.563533,0.146058
530,0.565803,0.14817
531,0.567206,0.104272
532,0.567887,0.146618
533,0.567077,0.145832
534,0.568208,0.107233
535,0.569026,0.142711
536,0.569375,0.141789
537,0.569647,0.102643
538,0.570239,0.138238
539,0.57127,0.139119
540,0.571969,0.100539
541,0.573151,0.141085
542,0.575435,0.132351
543,0.57674,0.0913495
544,0.57696,0.130827
545,0.580159,0.312787
546,0.580159,0.0954916
547,0.579238,0.133939
548,0.577688,0.135276
549,0.576453,0.0950429
550,0.574512,0.126997
551,0.571971,0.12914
552,0.571455,0.0823904
553,0.569253,0.119061
554,0.568734,0.111067
555,0.567401,0.0725824
556,0.566016,0.11304
557,0.565429,0.109037
558,0.564938,0.0700478
559,0.563124,0.107084
560,0.562257,0.121357
561,0.561478,0.0707163
562,0.560384,0.12734
563,0.561122,0.130551
564,0.559834,0.0790538
565,0.558931,0.127142
566,0.557861,0.123757
567,0.558917,0.0778638
568,0.559365,0.135339
569,0.561598,0.128546
570,0.55488,0.234722
571,0.558089,0.109243
572,0.55999,0.111386
573,0.560321,0.0631028
574,0.563251,0.0937493
